   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.229079E-02   19.4652       2.02721       2.76746       1.92537       2.72313      0.101836      0.443312E-01   4.64851       1.12825       1.12091       1.02415      0.797121      0.578021       0.00000       1.02420    
  0.251180E-02   18.5165       1.95391       2.65694       1.84634       2.60974      0.107574      0.472012E-01   4.45607       1.08537       1.07758      0.982496      0.760964      0.549600       0.00000      0.982562    
  0.275413E-02   17.5982       1.88294       2.54954       1.76939       2.49932      0.113554      0.502183E-01   4.26871       1.04355       1.03529      0.941891      0.725834      0.522061       0.00000      0.941974    
  0.301984E-02   16.7280       1.81572       2.44713       1.69576       2.39363      0.119963      0.535013E-01   4.08939       1.00342      0.994650      0.902958      0.692337      0.495921       0.00000      0.903060    
  0.331118E-02   15.8793       1.75019       2.34697       1.62362       2.29005      0.126577      0.569137E-01   3.91367      0.964046      0.954752      0.864772      0.659570      0.470408       0.00000      0.864892    
  0.363064E-02   15.0685       1.68765       2.25076       1.55409       2.19019      0.133564      0.605635E-01   3.74428      0.925998      0.916154      0.827904      0.628090      0.445997       0.00000      0.828043    
  0.398091E-02   14.2918       1.62785       2.15815       1.48693       2.09370      0.140922      0.644556E-01   3.58062      0.889150      0.878728      0.792227      0.597777      0.422583       0.00000      0.792384    
  0.436498E-02   13.5351       1.56965       2.06766       1.42115       1.99916      0.148502      0.684933E-01   3.42032      0.853005      0.841988      0.757247      0.568146      0.399754       0.00000      0.757422    
  0.478610E-02   12.8222       1.51501       1.98181       1.35841       1.90893      0.156604      0.728804E-01   3.26734      0.818395      0.806744      0.723792      0.540012      0.378202       0.00000      0.723986    
  0.524785E-02   12.1314       1.46220       1.89835       1.29720       1.82089      0.164995      0.774668E-01   3.11809      0.784564      0.772259      0.691114      0.512640      0.357303       0.00000      0.691325    
  0.575415E-02   11.4638       1.41131       1.81740       1.23762       1.73513      0.173691      0.822622E-01   2.97275      0.751552      0.738569      0.659250      0.486069      0.337086       0.00000      0.659479    
  0.630929E-02   10.8349       1.36365       1.74063       1.18072       1.65318      0.182932      0.874440E-01   2.83391      0.719893      0.706197      0.628738      0.460829      0.318004       0.00000      0.628984    
