 28
  1  1.0000 -0.0092 -0.0603 -0.1627 -0.0692  0.0831  0.0011  0.0244 -0.0122 -0.0891  0.1838 -0.0118 -0.0691 -0.0991 -0.0289 -0.0226  0.0164 -0.0157 -0.0733  0.0244 -0.1473  0.1810  0.0495  0.0422  0.0016  0.0079 -0.0199 -0.0673
  2 -0.0092  1.0000 -0.1154 -0.2342  0.0882 -0.2596  0.1483 -0.0229  0.0252  0.0029  0.0256 -0.0132 -0.3180  0.1133 -0.0711  0.0446  0.0986  0.0348 -0.0289 -0.0603  0.1690 -0.2372  0.0357  0.1191 -0.2647 -0.0235  0.1332  0.4208
  3 -0.0603 -0.1154  1.0000  0.0057 -0.2349  0.1745  0.1602 -0.0150 -0.1434 -0.1272 -0.0212 -0.3454  0.0823  0.1107 -0.0244  0.1113  0.0209 -0.2251  0.0563 -0.0082 -0.0764 -0.1318  0.0400 -0.0149  0.1124 -0.0655 -0.0029  0.0761
  4 -0.1627 -0.2342  0.0057  1.0000 -0.1613 -0.0274 -0.1475 -0.1866  0.0944 -0.2313 -0.4792  0.0232 -0.1541 -0.1615 -0.0700 -0.0659  0.1445 -0.0522 -0.2539 -0.0901  0.2724  0.0530  0.0022  0.2046 -0.0988 -0.0779  0.1582 -0.3595
  5 -0.0692  0.0882 -0.2349 -0.1613  1.0000 -0.1521 -0.1605  0.1231  0.1185  0.3557  0.2495  0.2268 -0.4203 -0.0227 -0.1040 -0.0031  0.0530 -0.0426 -0.0090 -0.0978  0.1848  0.0508  0.0827 -0.0537  0.2126 -0.0600 -0.1561  0.0061
  6  0.0831 -0.2596  0.1745 -0.0274 -0.1521  1.0000  0.0089 -0.0594  0.1897 -0.2459 -0.1263  0.2966  0.0934 -0.2307 -0.1804 -0.0047 -0.2481  0.1338 -0.0599  0.0934 -0.1378 -0.0228 -0.1304 -0.1313  0.0297  0.0859  0.1162 -0.0130
  7  0.0011  0.1483  0.1602 -0.1475 -0.1605  0.0089  1.0000  0.0643 -0.1561 -0.2950  0.1449  0.0378 -0.3132 -0.0208  0.0126 -0.0548  0.1095  0.3084  0.2292 -0.0218  0.2889  0.3761 -0.1422 -0.3023 -0.0677 -0.0036  0.0177  0.0236
  8  0.0244 -0.0229 -0.0150 -0.1866  0.1231 -0.0594  0.0643  1.0000  0.1621 -0.0850  0.0482 -0.0664  0.0069  0.0548  0.1055  0.1002 -0.0282  0.0847  0.0498  0.1887  0.1800 -0.1220 -0.1358 -0.0077  0.1094 -0.0016  0.0553  0.2497
  9 -0.0122  0.0252 -0.1434  0.0944  0.1185  0.1897 -0.1561  0.1621  1.0000 -0.0083 -0.2214 -0.1058 -0.1819 -0.0035  0.1373  0.1684 -0.2000  0.3257 -0.1957  0.1576  0.1057  0.0085 -0.0613  0.0828  0.1061  0.0560  0.0314  0.0696
 10 -0.0891  0.0029 -0.1272 -0.2313  0.3557 -0.2459 -0.2950 -0.0850 -0.0083  1.0000  0.0890 -0.2253  0.0703  0.0605  0.1518 -0.0740 -0.0163 -0.0819  0.1540 -0.0347 -0.2526  0.0476 -0.0367 -0.0557 -0.1704 -0.0150 -0.0752 -0.0806
 11  0.1838  0.0256 -0.0212 -0.4792  0.2495 -0.1263  0.1449  0.0482 -0.2214  0.0890  1.0000 -0.2589  0.0872 -0.2048 -0.0238 -0.0674 -0.0680  0.0758  0.5580 -0.1725 -0.1055  0.0705  0.1675  0.1383  0.0936  0.0180 -0.0051 -0.0897
 12 -0.0118 -0.0132 -0.3454  0.0232  0.2268  0.2966  0.0378 -0.0664 -0.1058 -0.2253 -0.2589  1.0000  0.0049 -0.1436 -0.2271  0.1238 -0.1524  0.2561 -0.1915  0.0745  0.0056 -0.0656  0.1499 -0.2046  0.1028 -0.0063  0.0255 -0.0187
 13 -0.0691 -0.3180  0.0823 -0.1541 -0.4203  0.0934 -0.3132  0.0069 -0.1819  0.0703  0.0872  0.0049  1.0000  0.1118  0.0587 -0.0423 -0.5027  0.2689  0.2730  0.1396 -0.4084 -0.4187  0.1348  0.1251 -0.0765 -0.0159 -0.0579 -0.0861
 14 -0.0991  0.1133  0.1107 -0.1615 -0.0227 -0.2307 -0.0208  0.0548 -0.0035  0.0605 -0.2048 -0.1436  0.1118  1.0000 -0.1832 -0.0475 -0.1807  0.1615 -0.2046  0.0352 -0.0940  0.1577  0.1687 -0.0291 -0.0095  0.0394 -0.0448  0.0300
 15 -0.0289 -0.0711 -0.0244 -0.0700 -0.1040 -0.1804  0.0126  0.1055  0.1373  0.1518 -0.0238 -0.2271  0.0587 -0.1832  1.0000  0.0668 -0.2398  0.0151 -0.1534 -0.0667  0.1403  0.0709  0.0840 -0.1502  0.0194 -0.0020  0.0720 -0.0447
 16 -0.0226  0.0446  0.1113 -0.0659 -0.0031 -0.0047 -0.0548  0.1002  0.1684 -0.0740 -0.0674  0.1238 -0.0423 -0.0475  0.0668  1.0000  0.1086  0.0005  0.0415 -0.0301 -0.1085  0.0743  0.0495  0.0495 -0.0714  0.0001 -0.0235 -0.0028
 17  0.0164  0.0986  0.0209  0.1445  0.0530 -0.2481  0.1095 -0.0282 -0.2000 -0.0163 -0.0680 -0.1524 -0.5027 -0.1807 -0.2398  0.1086  1.0000 -0.7026  0.0548  0.1997  0.1936  0.1722  0.0012 -0.1570 -0.1254  0.0356  0.0242 -0.0995
 18 -0.0157  0.0348 -0.2251 -0.0522 -0.0426  0.1338  0.3084  0.0847  0.3257 -0.0819  0.0758  0.2561  0.2689  0.1615  0.0151  0.0005 -0.7026  1.0000  0.0878 -0.0538 -0.0166  0.0936 -0.0159  0.0331 -0.1231 -0.0395 -0.0934 -0.1350
 19 -0.0733 -0.0289  0.0563 -0.2539 -0.0090 -0.0599  0.2292  0.0498 -0.1957  0.1540  0.5580 -0.1915  0.2730 -0.2046 -0.1534  0.0415  0.0548  0.0878  1.0000  0.0339 -0.0243 -0.2142  0.1758  0.1304 -0.1039 -0.0160  0.0681 -0.0011
