   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.208923E-02   3.27995      0.462247      0.708369      0.419298      0.694582      0.429488E-01  0.137864E-01   1.11388      0.407398      0.404078      0.290529      0.118999E-01   0.00000       0.00000      0.290505    
  0.229079E-02   3.28067      0.460180      0.698344      0.414047      0.683288      0.461327E-01  0.150559E-01   1.09734      0.401231      0.397640      0.285669      0.128158E-01   0.00000       0.00000      0.285648    
  0.251180E-02   3.27960      0.458288      0.688425      0.408795      0.672010      0.494922E-01  0.164152E-01   1.08081      0.395087      0.391210      0.280816      0.137083E-01   0.00000       0.00000      0.280799    
  0.275413E-02   3.27654      0.456591      0.678623      0.403543      0.660749      0.530477E-01  0.178745E-01   1.06429      0.388969      0.384788      0.275973      0.145748E-01   0.00000       0.00000      0.275961    
  0.301984E-02   3.27034      0.455246      0.669025      0.398281      0.649501      0.569643E-01  0.195243E-01   1.04778      0.382886      0.378369      0.271140      0.153952E-01   0.00000       0.00000      0.271131    
  0.331118E-02   3.26274      0.454071      0.659524      0.393012      0.638253      0.610595E-01  0.212706E-01   1.03126      0.376818      0.371949      0.266308      0.161934E-01   0.00000       0.00000      0.266304    
  0.363064E-02   3.25269      0.453210      0.650197      0.387726      0.627001      0.654842E-01  0.231963E-01   1.01473      0.370774      0.365522      0.261479      0.169513E-01   0.00000       0.00000      0.261479    
  0.398091E-02   3.24042      0.452669      0.641046      0.382415      0.615730      0.702535E-01  0.253160E-01  0.998145      0.364747      0.359080      0.256644      0.176686E-01   0.00000       0.00000      0.256650    
  0.436498E-02   3.22685      0.452320      0.631999      0.377089      0.604445      0.752309E-01  0.275538E-01  0.981534      0.358728      0.352628      0.251807      0.183615E-01   0.00000       0.00000      0.251817    
  0.478610E-02   3.21043      0.452436      0.623200      0.371718      0.593112      0.807184E-01  0.300884E-01  0.964829      0.352721      0.346142      0.246954      0.189964E-01   0.00000       0.00000      0.246970    
  0.524785E-02   3.19254      0.452819      0.614542      0.366314      0.581739      0.865052E-01  0.328033E-01  0.948053      0.346716      0.339629      0.242089      0.195984E-01   0.00000       0.00000      0.242109    
  0.575415E-02   3.17310      0.453484      0.606032      0.360877      0.570325      0.926061E-01  0.357072E-01  0.931202      0.340712      0.333090      0.237209      0.201659E-01   0.00000       0.00000      0.237235    
  0.630929E-02   3.15104      0.454674      0.597797      0.355368      0.558812      0.993068E-01  0.389848E-01  0.914180      0.334698      0.326487      0.232294      0.206697E-01   0.00000       0.00000      0.232326    
  0.691799E-02   3.12779      0.456117      0.589694      0.349819      0.547246      0.106297      0.424477E-01  0.897065      0.328676      0.319849      0.227360      0.211435E-01   0.00000       0.00000      0.227397    
  0.758542E-02   3.10250      0.458007      0.581825      0.344201      0.535579      0.113807      0.462455E-01  0.879780      0.322637      0.313148      0.222389      0.215639E-01   0.00000       0.00000      0.222432    
  0.831724E-02   3.07518      0.460373      0.574206      0.338499      0.523789      0.121875      0.504167E-01  0.862288      0.316570      0.306369      0.217373      0.219288E-01   0.00000       0.00000      0.217421    
  0.911966E-02   3.04669      0.463017      0.566734      0.332747      0.511925      0.130270      0.548088E-01  0.844671      0.310485      0.299543      0.212328      0.222618E-01   0.00000       0.00000      0.212381    
  0.999950E-02   3.01565      0.466303      0.559598      0.326874      0.499869      0.139429      0.597287E-01  0.826743      0.304349      0.292599      0.207212      0.225253E-01   0.00000       0.00000      0.207270    
  0.109642E-01   2.98342      0.469884      0.552627      0.320939      0.487723      0.148945      0.649046E-01  0.808661      0.298186      0.285599      0.202060      0.227529E-01   0.00000       0.00000      0.202124    
  0.120220E-01   2.94895      0.474037      0.545974      0.314881      0.475391      0.159156      0.705828E-01  0.790272      0.291967      0.278483      0.196840      0.229135E-01   0.00000       0.00000      0.196908    
  0.131819E-01   2.91242      0.478722      0.539620      0.308703      0.462874      0.170018      0.767463E-01  0.771577      0.285689      0.271253      0.191548      0.230146E-01   0.00000       0.00000      0.191621    
  0.144536E-01   2.87380      0.483948      0.533579      0.302397      0.450157      0.181552      0.834220E-01  0.752554      0.279341      0.263900      0.186179      0.230555E-01   0.00000       0.00000      0.186257    
  0.158481E-01   2.83318      0.489691      0.527844      0.295962      0.437242      0.193729      0.906023E-01  0.733203      0.272922      0.256425      0.180735      0.230396E-01   0.00000       0.00000      0.180817    
  0.173770E-01   2.79046      0.495961      0.522429      0.289390      0.424115      0.206571      0.983138E-01  0.713505      0.266424      0.248820      0.175209      0.229658E-01   0.00000       0.00000      0.175295    
  0.190535E-01   2.74536      0.502819      0.517383      0.282658      0.410744      0.220161      0.106639      0.693402      0.259830      0.241065      0.169589      0.228279E-01   0.00000       0.00000      0.169678    
  0.208917E-01   2.69782      0.510257      0.512715      0.275760      0.397120      0.234498      0.115595      0.672880      0.253133      0.233156      0.163871      0.226267E-01   0.00000       0.00000      0.163964    
  0.229073E-01   2.64788      0.518240      0.508415      0.268697      0.383253      0.249544      0.125162      0.651949      0.246331      0.225097      0.158060      0.223660E-01   0.00000       0.00000      0.158156    
  0.251174E-01   2.59544      0.526767      0.504496      0.261461      0.369134      0.265306      0.135362      0.630595      0.239415      0.216884      0.152151      0.220458E-01   0.00000       0.00000      0.152250    
  0.275406E-01   2.54010      0.535885      0.501010      0.254027      0.354732      0.281858      0.146278      0.608759      0.232366      0.208498      0.146134      0.216602E-01   0.00000       0.00000      0.146234    
  0.301976E-01   2.48182      0.545561      0.497953      0.246391      0.340055      0.299170      0.157898      0.586446      0.225179      0.199943      0.140011      0.212121E-01   0.00000       0.00000      0.140112    
  0.331110E-01   2.42066      0.555744      0.495304      0.238561      0.325121      0.317183      0.170183      0.563681      0.217854      0.191230      0.133789      0.207061E-01   0.00000       0.00000      0.133891    
  0.363055E-01   2.35651      0.566408      0.493063      0.230529      0.309935      0.335879      0.183128      0.540464      0.210385      0.182362      0.127471      0.201435E-01   0.00000       0.00000      0.127573    
  0.398081E-01   2.28889      0.577570      0.491268      0.222270      0.294484      0.355300      0.196784      0.516753      0.202750      0.173330      0.121051      0.195201E-01   0.00000       0.00000      0.121154    
  0.436487E-01   2.21786      0.589160      0.489881      0.213789      0.278796      0.375371      0.211085      0.492586      0.194948      0.164152      0.114543      0.188410E-01   0.00000       0.00000      0.114644    
  0.478598E-01   2.14353      0.601106      0.488854      0.205100      0.262910      0.396007      0.225945      0.468009      0.186988      0.154849      0.107961      0.181119E-01   0.00000       0.00000      0.108061    
  0.524772E-01   2.06585      0.613352      0.488153      0.196201      0.246852      0.417151      0.241301      0.443053      0.178865      0.145439      0.101316      0.173360E-01   0.00000       0.00000      0.101413    
  0.575400E-01   1.98439      0.625852      0.487752      0.187074      0.230649      0.438778      0.257102      0.417723      0.170562      0.135935      0.946192E-01  0.165120E-01   0.00000       0.00000      0.947146E-01
  0.630913E-01   1.89941      0.638503      0.487553      0.177739      0.214362      0.460764      0.273191      0.392101      0.162091      0.126374      0.878961E-01  0.156476E-01   0.00000       0.00000      0.879883E-01
  0.691782E-01   1.81114      0.651209      0.487453      0.168217      0.198051      0.482992      0.289402      0.366268      0.153467      0.116791      0.811707E-01  0.147497E-01   0.00000       0.00000      0.812593E-01
  0.758523E-01   1.71970      0.663875      0.487339      0.158521      0.181778      0.505353      0.305561      0.340299      0.144698      0.107225      0.744683E-01  0.138232E-01   0.00000       0.00000      0.745528E-01
  0.831703E-01   1.62493      0.676362      0.487035      0.148654      0.165638      0.527708      0.321397      0.314292      0.135782      0.977303E-01  0.678282E-01  0.128720E-01   0.00000       0.00000      0.679081E-01
  0.911943E-01   1.52737      0.688544      0.486355      0.138654      0.149718      0.549890      0.336637      0.288372      0.126749      0.883582E-01  0.612849E-01  0.119050E-01   0.00000       0.00000      0.613600E-01
  0.999925E-01   1.42745      0.700303      0.485111      0.128554      0.134092      0.571750      0.351019      0.262645      0.117624      0.791539E-01  0.548678E-01  0.109292E-01   0.00000       0.00000      0.549377E-01
  0.109639       1.32561      0.711482      0.483062      0.118393      0.118865      0.593089      0.364197      0.237258      0.108440      0.701803E-01  0.486205E-01  0.995227E-02   0.00000       0.00000      0.486849E-01
  0.120217       1.22219      0.721795      0.479779      0.108213      0.104213      0.613582      0.375566      0.212426      0.992302E-01  0.615400E-01  0.426143E-01  0.898321E-02   0.00000       0.00000      0.426731E-01
  0.131815       1.11798      0.731083      0.475021      0.980718E-01  0.902032E-01  0.633011      0.384818      0.188275      0.900420E-01  0.532745E-01  0.368756E-01  0.802983E-02   0.00000       0.00000      0.369287E-01
