   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   80.6411       6.55023       9.35704       6.53581       9.35160      0.144197E-01  0.543868E-02   15.8874       3.56727       3.56651       3.41000       2.96854       2.37530       0.00000    
  0.109648E-03   77.7798       6.34726       9.06328       6.33199       9.05750      0.152771E-01  0.577415E-02   15.3895       3.46090       3.46008       3.30551       2.87108       2.29212       0.00000    
  0.120226E-03   75.0404       6.15192       8.78062       6.13570       8.77447      0.162172E-01  0.614481E-02   14.9102       3.35835       3.35747       3.20481       2.77735       2.21240       0.00000    
  0.131825E-03   72.3502       5.95968       8.50246       5.94249       8.49593      0.171946E-01  0.653164E-02   14.4384       3.25736       3.25641       3.10565       2.68513       2.13408       0.00000    
  0.144543E-03   69.7303       5.77188       8.23075       5.75366       8.22381      0.182257E-01  0.694163E-02   13.9775       3.15859       3.15757       3.00869       2.59506       2.05776       0.00000    
  0.158489E-03   67.2048       5.59010       7.96776       5.57076       7.96037      0.193380E-01  0.738712E-02   13.5311       3.06284       3.06174       2.91472       2.50792       1.98412       0.00000    
  0.173779E-03   64.7254       5.41126       7.70902       5.39077       7.70116      0.204924E-01  0.785123E-02   13.0919       2.96856       2.96738       2.82221       2.42221       1.91179       0.00000    
  0.190545E-03   62.3342       5.23808       7.45845       5.21635       7.45009      0.217322E-01  0.835318E-02   12.6664       2.87710       2.87584       2.73250       2.33925       1.84197       0.00000    
  0.208928E-03   60.0107       5.06929       7.21420       5.04624       7.20531      0.230458E-01  0.888839E-02   12.2515       2.78784       2.78648       2.64496       2.25840       1.77408       0.00000    
  0.229085E-03   57.7311       4.90334       6.97404       4.87893       6.96460      0.244078E-01  0.944534E-02   11.8435       2.69999       2.69854       2.55882       2.17894       1.70744       0.00000    
  0.251186E-03   55.5548       4.74414       6.74358       4.71824       6.73352      0.258968E-01  0.100603E-01   11.4518       2.61551       2.61395       2.47602       2.10273       1.64375       0.00000    
  0.275420E-03   53.4223       4.58781       6.51723       4.56036       6.50653      0.274464E-01  0.107034E-01   11.0669       2.53246       2.53079       2.39463       2.02790       1.58130       0.00000    
  0.301992E-03   51.3484       4.43535       6.29642       4.40627       6.28504      0.290776E-01  0.113842E-01   10.6913       2.45134       2.44955       2.31515       1.95494       1.52053       0.00000    
  0.331127E-03   49.3567       4.28835       6.08340       4.25751       6.07128      0.308373E-01  0.121256E-01   10.3288       2.37292       2.37100       2.23835       1.88459       1.46211       0.00000    
  0.363073E-03   47.4042       4.14396       5.87410       4.11129       5.86121      0.326629E-01  0.128983E-01   9.97250       2.29579       2.29374       2.16284       1.81550       1.40481       0.00000    
  0.398101E-03   45.5250       4.00449       5.67181       3.96987       5.65807      0.346181E-01  0.137329E-01   9.62794       2.22110       2.21891       2.08973       1.74876       1.34961       0.00000    
  0.436509E-03   43.7047       3.86899       5.47514       3.83230       5.46052      0.366903E-01  0.146244E-01   9.29281       2.14838       2.14603       2.01857       1.68392       1.29610       0.00000    
  0.478622E-03   41.9215       3.73600       5.28204       3.69716       5.26648      0.388374E-01  0.155524E-01   8.96364       2.07689       2.07438       1.94863       1.62027       1.24364       0.00000    
  0.524798E-03   40.2240       3.60885       5.09719       3.56767       5.08062      0.411771E-01  0.165756E-01   8.64829       2.00827       2.00559       1.88154       1.55940       1.19365       0.00000    
  0.575429E-03   38.5645       3.48432       4.91603       3.44070       4.89838      0.436131E-01  0.176471E-01   8.33908       1.94094       1.93807       1.81572       1.49976       1.14474       0.00000    
  0.630945E-03   36.9530       3.36309       4.73951       3.31691       4.72073      0.461707E-01  0.187798E-01   8.03765       1.87522       1.87216       1.75150       1.44169       1.09722       0.00000    
  0.691816E-03   35.4115       3.24671       4.56981       3.19779       4.54980      0.489282E-01  0.200147E-01   7.74758       1.81188       1.80861       1.68962       1.38590       1.05170       0.00000    
  0.758561E-03   33.9026       3.13262       4.40330       3.08083       4.38200      0.517860E-01  0.213015E-01   7.46284       1.74965       1.74615       1.62885       1.33119       1.00712       0.00000    
  0.831745E-03   32.4537       3.02273       4.24267       2.96789       4.21998      0.548368E-01  0.226887E-01   7.18787       1.68946       1.68573       1.57009       1.27844      0.964271       0.00000    
  0.911989E-03   31.0547       2.91638       4.08695       2.85831       4.06277      0.580686E-01  0.241720E-01   6.92108       1.63097       1.62699       1.51302       1.22733      0.922856       0.00000    
  0.999975E-03   29.6865       2.81220       3.93426       2.75079       3.90854      0.614136E-01  0.257154E-01   6.65933       1.57354       1.56930       1.45700       1.17724      0.882326       0.00000    
  0.109645E-02   28.3880       2.71301       3.78848       2.64797       3.76106      0.650429E-01  0.274125E-01   6.40903       1.51851       1.51399       1.40335       1.12946      0.843806       0.00000    
  0.120223E-02   27.1220       2.61617       3.64592       2.54735       3.61673      0.688206E-01  0.291912E-01   6.16407       1.46459       1.45977       1.35080       1.08276      0.806220       0.00000    
  0.131822E-02   25.8943       2.52210       3.50719       2.44932       3.47612      0.727744E-01  0.310669E-01   5.92544       1.41200       1.40687       1.29956       1.03733      0.769742       0.00000    
  0.144540E-02   24.7251       2.43230       3.37432       2.35527       3.34121      0.770291E-01  0.331115E-01   5.69648       1.36143       1.35596       1.25032      0.993846      0.734953       0.00000    
  0.158485E-02   23.5826       2.34447       3.24413       2.26304       3.20889      0.814316E-01  0.352403E-01   5.47192       1.31178       1.30597       1.20200      0.951255      0.700935       0.00000    
  0.173775E-02   22.4881       2.26018       3.11877       2.17407       3.08125      0.861111E-01  0.375276E-01   5.25532       1.26380       1.25762       1.15532      0.910271      0.668304       0.00000    
  0.190540E-02   21.4352       2.17901       2.99764       2.08795       2.95767      0.910593E-01  0.399721E-01   5.04562       1.21727       1.21070       1.11008      0.870682      0.636878       0.00000    
  0.208923E-02   20.4073       2.09971       2.87905       2.00354       2.83654      0.961719E-01  0.425131E-01   4.84008       1.17161       1.16463       1.06570      0.831933      0.606175       0.00000    
  0.229079E-02   19.4350       2.02463       2.76614       1.92294       2.72084      0.101686      0.452936E-01   4.64378       1.12788       1.12047       1.02324      0.795055      0.577084       0.00000    
  0.251180E-02   18.4897       1.95162       2.65600       1.84420       2.60780      0.107417      0.482067E-01   4.45199       1.08511       1.07724      0.981715      0.759090      0.548778       0.00000    
  0.275413E-02   17.5746       1.88092       2.54897       1.76753       2.49770      0.113391      0.512677E-01   4.26523       1.04338       1.03504      0.941232      0.724143      0.521347       0.00000    
  0.301984E-02   16.7074       1.81395       2.44689       1.69415       2.39230      0.119793      0.545955E-01   4.08645       1.00334      0.994481      0.902408      0.690817      0.495307       0.00000    
  0.331118E-02   15.8615       1.74865       2.34704       1.62225       2.28899      0.126399      0.580530E-01   3.91124      0.964036      0.954655      0.864326      0.658216      0.469888       0.00000    
  0.363064E-02   15.0532       1.68632       2.25112       1.55295       2.18937      0.133378      0.617483E-01   3.74232      0.926054      0.916119      0.827550      0.626892      0.445565       0.00000    
  0.398091E-02   14.2789       1.62672       2.15878       1.48599       2.09309      0.140729      0.656859E-01   3.57908      0.889262      0.878745      0.791955      0.596726      0.422234       0.00000    
  0.436498E-02   13.5245       1.56871       2.06853       1.42041       1.99876      0.148301      0.697690E-01   3.41917      0.853167      0.842051      0.757052      0.567238      0.399483       0.00000    
  0.478610E-02   12.8136       1.51422       1.98290       1.35783       1.90870      0.156395      0.742009E-01   3.26653      0.818595      0.806841      0.723663      0.539235      0.378002       0.00000    
  0.524785E-02   12.1247       1.46156       1.89964       1.29679       1.82081      0.164778      0.788313E-01   3.11759      0.784797      0.772384      0.691044      0.511989      0.357169       0.00000    
  0.575415E-02   11.4590       1.41081       1.81886       1.23735       1.73519      0.173465      0.836699E-01   2.97254      0.751810      0.738716      0.659232      0.485538      0.337014       0.00000    
  0.630929E-02   10.8316       1.36327       1.74224       1.18058       1.65335      0.182699      0.888925E-01   2.83393      0.720168      0.706355      0.628762      0.460408      0.317988       0.00000    
  0.691799E-02   10.2209       1.31715       1.66745       1.12497       1.57316      0.192183      0.942952E-01   2.69813      0.689111      0.674563      0.598878      0.435857      0.299456       0.00000    
  0.758542E-02   9.63914       1.27348       1.59583       1.07137       1.49582      0.202110      0.100018       2.56719      0.659065      0.643753      0.570007      0.412305      0.281776       0.00000    
  0.831724E-02   9.08445       1.23215       1.52722       1.01967       1.42115      0.212480      0.106069       2.44082      0.629968      0.613865      0.542091      0.389699      0.264901       0.00000    
  0.911966E-02   8.54349       1.19203       1.46015      0.968928       1.34785      0.223098      0.112304       2.31678      0.601354      0.584446      0.514660      0.367573      0.248434       0.00000    
  0.999950E-02   8.02014       1.15367       1.39524      0.919463       1.27633      0.234208      0.118911       2.19579      0.573374      0.555630      0.487870      0.346089      0.232504       0.00000    
  0.109642E-01   7.51935       1.11716       1.33277      0.871556       1.20702      0.245604      0.125742       2.07858      0.546172      0.527580      0.461869      0.325383      0.217242       0.00000    
  0.120220E-01   7.05279       1.08353       1.27408      0.826031       1.14111      0.257497      0.132967       1.96714      0.520159      0.500696      0.437075      0.305873      0.202998       0.00000    
