   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.208923E-02   4.97749      0.596544      0.834773      0.548277      0.814609      0.482674E-01  0.201645E-01   1.36289      0.465508      0.462330      0.352313      0.827689E-01   0.00000       0.00000      0.352279    
  0.229079E-02   4.92065      0.590447      0.820978      0.538730      0.799160      0.517167E-01  0.218184E-01   1.33789      0.457260      0.453829      0.345358      0.814699E-01   0.00000       0.00000      0.345331    
  0.251180E-02   4.86246      0.584577      0.807349      0.529228      0.783773      0.553491E-01  0.235760E-01   1.31300      0.449056      0.445358      0.338435      0.801719E-01   0.00000       0.00000      0.338415    
  0.275413E-02   4.80276      0.578962      0.793903      0.519777      0.768454      0.591855E-01  0.254490E-01   1.28823      0.440901      0.436920      0.331547      0.788751E-01   0.00000       0.00000      0.331534    
  0.301984E-02   4.74075      0.573795      0.780772      0.510399      0.753234      0.633965E-01  0.275382E-01   1.26363      0.432821      0.428528      0.324711      0.775775E-01   0.00000       0.00000      0.324706    
  0.331118E-02   4.67774      0.568844      0.767788      0.501052      0.738053      0.677920E-01  0.297357E-01   1.23910      0.424774      0.420153      0.317897      0.762785E-01   0.00000       0.00000      0.317900    
  0.363064E-02   4.61299      0.564285      0.755072      0.491757      0.722938      0.725274E-01  0.321337E-01   1.21470      0.416781      0.411807      0.311121      0.749762E-01   0.00000       0.00000      0.311132    
  0.398091E-02   4.54672      0.560119      0.742616      0.482503      0.707871      0.776165E-01  0.347446E-01   1.19037      0.408834      0.403478      0.304374      0.736683E-01   0.00000       0.00000      0.304393    
  0.436498E-02   4.47956      0.556189      0.730315      0.473270      0.692830      0.829190E-01  0.374847E-01   1.16610      0.400914      0.395159      0.297643      0.723566E-01   0.00000       0.00000      0.297671    
  0.478610E-02   4.41051      0.552820      0.718375      0.464078      0.677830      0.887423E-01  0.405451E-01   1.14191      0.393044      0.386851      0.290942      0.710335E-01   0.00000       0.00000      0.290979    
  0.524785E-02   4.34051      0.549768      0.706634      0.454898      0.662838      0.948696E-01  0.437966E-01   1.11774      0.385196      0.378540      0.284252      0.697022E-01   0.00000       0.00000      0.284298    
  0.575415E-02   4.26952      0.547048      0.695103      0.445733      0.647855      0.101316      0.472486E-01   1.09359      0.377371      0.370226      0.277573      0.683622E-01   0.00000       0.00000      0.277628    
  0.630929E-02   4.19690      0.544943      0.683951      0.436575      0.632862      0.108367      0.510894E-01   1.06944      0.369572      0.361894      0.270904      0.670032E-01   0.00000       0.00000      0.270968    
  0.691799E-02   4.12357      0.543126      0.672975      0.427416      0.617854      0.115710      0.551205E-01   1.04527      0.361782      0.353546      0.264235      0.656343E-01   0.00000       0.00000      0.264308    
  0.758542E-02   4.04900      0.541823      0.662311      0.418250      0.602817      0.123573      0.594936E-01   1.02107      0.354003      0.345170      0.257564      0.642470E-01   0.00000       0.00000      0.257647    
  0.831724E-02   3.97325      0.541056      0.651967      0.409062      0.587726      0.131993      0.642406E-01  0.996789      0.346224      0.336752      0.250883      0.628386E-01   0.00000       0.00000      0.250974    
  0.911966E-02   3.89679      0.540597      0.641807      0.399859      0.572601      0.140738      0.692066E-01  0.972460      0.338442      0.328307      0.244193      0.614173E-01   0.00000       0.00000      0.244293    
  0.999950E-02   3.81878      0.540825      0.632044      0.390602      0.557364      0.150223      0.746804E-01  0.947966      0.330638      0.319785      0.237469      0.599639E-01   0.00000       0.00000      0.237578    
  0.109642E-01   3.74014      0.541391      0.622488      0.381323      0.542082      0.160068      0.804064E-01  0.923405      0.322827      0.311229      0.230735      0.584968E-01   0.00000       0.00000      0.230853    
  0.120220E-01   3.66027      0.542596      0.613317      0.371994      0.526699      0.170602      0.866183E-01  0.898693      0.314992      0.302601      0.223972      0.570018E-01   0.00000       0.00000      0.224098    
  0.131819E-01   3.57924      0.544374      0.604486      0.362602      0.511200      0.181772      0.932862E-01  0.873802      0.307123      0.293894      0.217173      0.554792E-01   0.00000       0.00000      0.217306    
  0.144536E-01   3.49703      0.546732      0.596001      0.353140      0.495573      0.193593      0.100428      0.848713      0.299212      0.285101      0.210332      0.539280E-01   0.00000       0.00000      0.210472    
  0.158481E-01   3.41369      0.549638      0.587843      0.343603      0.479815      0.206035      0.108029      0.823418      0.291254      0.276220      0.203447      0.523493E-01   0.00000       0.00000      0.203595    
  0.173770E-01   3.32917      0.553097      0.580020      0.333984      0.463915      0.219113      0.116105      0.797899      0.283242      0.267246      0.196515      0.507424E-01   0.00000       0.00000      0.196669    
  0.190535E-01   3.24330      0.557170      0.572570      0.324267      0.447849      0.232904      0.124721      0.772115      0.275163      0.258163      0.189526      0.491039E-01   0.00000       0.00000      0.189686    
  0.208917E-01   3.15604      0.561844      0.565489      0.314444      0.431610      0.247400      0.133879      0.746053      0.267009      0.248967      0.182479      0.474343E-01   0.00000       0.00000      0.182643    
  0.229073E-01   3.06741      0.567077      0.558755      0.304515      0.415203      0.262562      0.143552      0.719718      0.258780      0.239661      0.175374      0.457358E-01   0.00000       0.00000      0.175542    
  0.251174E-01   2.97736      0.572864      0.552370      0.294475      0.398624      0.278388      0.153746      0.693099      0.250467      0.230243      0.168210      0.440088E-01   0.00000       0.00000      0.168381    
  0.275406E-01   2.88566      0.579248      0.546367      0.284306      0.381853      0.294942      0.164514      0.666159      0.242055      0.220699      0.160980      0.422512E-01   0.00000       0.00000      0.161154    
  0.301976E-01   2.79229      0.586191      0.540724      0.274006      0.364898      0.312185      0.175827      0.638904      0.233540      0.211035      0.153687      0.404657E-01   0.00000       0.00000      0.153862    
  0.331110E-01   2.69728      0.593637      0.535410      0.263580      0.347775      0.330056      0.187635      0.611355      0.224925      0.201261      0.146338      0.386557E-01   0.00000       0.00000      0.146514    
  0.363055E-01   2.60059      0.601557      0.530409      0.253027      0.330493      0.348530      0.199916      0.583520      0.216204      0.191381      0.138937      0.368232E-01   0.00000       0.00000      0.139112    
  0.398081E-01   2.50197      0.609961      0.525727      0.242331      0.313051      0.367629      0.212676      0.555383      0.207362      0.181393      0.131484      0.349691E-01   0.00000       0.00000      0.131659    
  0.436487E-01   2.40147      0.618776      0.521314      0.231502      0.295480      0.387274      0.225835      0.526982      0.198404      0.171315      0.123993      0.330981E-01   0.00000       0.00000      0.124165    
  0.478598E-01   2.29921      0.627927      0.517113      0.220551      0.277812      0.407376      0.239301      0.498363      0.189336      0.161168      0.116475      0.312153E-01   0.00000       0.00000      0.116644    
  0.524772E-01   2.19518      0.637353      0.513072      0.209484      0.260080      0.427869      0.252992      0.469563      0.180159      0.150969      0.108946      0.293248E-01   0.00000       0.00000      0.109111    
  0.575400E-01   2.08924      0.647002      0.509132      0.198299      0.242323      0.448703      0.266808      0.440622      0.170867      0.140741      0.101422      0.274321E-01   0.00000       0.00000      0.101582    
  0.630913E-01   1.98159      0.656769      0.505192      0.187018      0.224599      0.469751      0.280592      0.411617      0.161474      0.130518      0.939267E-01  0.255438E-01   0.00000       0.00000      0.940809E-01
  0.691782E-01   1.87246      0.666554      0.501150      0.175663      0.206964      0.490891      0.294186      0.382627      0.151997      0.120334      0.864827E-01  0.236661E-01   0.00000       0.00000      0.866302E-01
  0.758523E-01   1.76201      0.676259      0.496893      0.164254      0.189481      0.512005      0.307412      0.353735      0.142448      0.110225      0.791156E-01  0.218057E-01   0.00000       0.00000      0.792558E-01
  0.831703E-01   1.65036      0.685735      0.492223      0.152815      0.172256      0.532919      0.319967      0.325072      0.132842      0.100253      0.718715E-01  0.199738E-01   0.00000       0.00000      0.720036E-01
  0.911943E-01   1.53791      0.694851      0.486983      0.141384      0.155368      0.553466      0.331616      0.296752      0.123207      0.904637E-01  0.647803E-01  0.181773E-01   0.00000       0.00000      0.649039E-01
  0.999925E-01   1.42494      0.703493      0.481026      0.129986      0.138867      0.573508      0.342158      0.268853      0.113567      0.808907E-01  0.578619E-01  0.164186E-01   0.00000       0.00000      0.579764E-01
  0.109639       1.31200      0.711486      0.474134      0.118675      0.122876      0.592811      0.351258      0.241551      0.103963      0.716038E-01  0.511670E-01  0.147119E-01   0.00000       0.00000      0.512722E-01
  0.120217       1.19965      0.718523      0.465918      0.107518      0.107574      0.611005      0.358344      0.215092      0.944443E-01  0.627077E-01  0.447707E-01  0.130735E-01   0.00000       0.00000      0.448664E-01
  0.131815       1.08838      0.724443      0.456220      0.965567E-01  0.930070E-01  0.627887      0.363213      0.189564      0.850514E-01  0.542317E-01  0.386892E-01  0.115053E-01   0.00000       0.00000      0.387753E-01
  0.144533      0.978922      0.728889      0.444678      0.858666E-01  0.793214E-01  0.643023      0.365356      0.165188      0.758470E-01  0.462622E-01  0.329827E-01  0.100196E-01   0.00000       0.00000      0.330592E-01
  0.158477      0.871869      0.731570      0.431090      0.755042E-01  0.665802E-01  0.656066      0.364510      0.142084      0.668830E-01  0.388376E-01  0.276755E-01  0.862113E-02   0.00000       0.00000      0.277426E-01
  0.173766      0.768114      0.731929      0.415066      0.655632E-01  0.549277E-01  0.666366      0.360138      0.120491      0.582410E-01  0.320432E-01  0.228264E-01  0.732223E-02   0.00000       0.00000      0.228845E-01
