   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   83.7345       6.83227       9.73057       6.81789       9.72523      0.143772E-01  0.533983E-02   16.5431       3.70519       3.70434       3.55067       3.11271       2.47042       0.00000       3.55047    
  0.109648E-03   80.6919       6.61386       9.41565       6.59862       9.40999      0.152330E-01  0.566909E-02   16.0086       3.59104       3.59013       3.43834       3.00758       2.38172       0.00000       3.43813    
  0.120226E-03   77.7843       6.40410       9.11328       6.38792       9.10724      0.161714E-01  0.603291E-02   15.4952       3.48124       3.48027       3.33032       2.90668       2.29686       0.00000       3.33011    
  0.131825E-03   74.9310       6.19784       8.81596       6.18069       8.80955      0.171471E-01  0.641261E-02   14.9902       3.37320       3.37216       3.22404       2.80749       2.21356       0.00000       3.22384    
  0.144543E-03   72.1555       5.99660       8.52591       5.97842       8.51909      0.181764E-01  0.681506E-02   14.4975       3.26768       3.26656       3.12027       2.71074       2.13247       0.00000       3.12006    
  0.158489E-03   69.4839       5.80213       8.24562       5.78284       8.23836      0.192869E-01  0.725241E-02   14.0212       3.16556       3.16436       3.01986       2.61728       2.05435       0.00000       3.01965    
  0.173779E-03   66.8630       5.61097       7.97009       5.59053       7.96238      0.204396E-01  0.770803E-02   13.5529       3.06510       3.06381       2.92110       2.52543       1.97768       0.00000       2.92089    
  0.190545E-03   64.3388       5.42615       7.70369       5.40447       7.69549      0.216775E-01  0.820085E-02   13.1000       2.96781       2.96642       2.82549       2.43666       1.90378       0.00000       2.82528    
  0.208928E-03   61.8888       5.24623       7.44433       5.22324       7.43560      0.229893E-01  0.872637E-02   12.6588       2.87298       2.87149       2.73231       2.35026       1.83200       0.00000       2.73211    
  0.229085E-03   59.4870       5.06949       7.18953       5.04514       7.18026      0.243494E-01  0.927326E-02   12.2254       2.77973       2.77814       2.64071       2.26541       1.76160       0.00000       2.64051    
  0.251186E-03   57.1979       4.90026       6.94548       4.87442       6.93560      0.258366E-01  0.987721E-02   11.8100       2.69024       2.68854       2.55284       2.18418       1.69443       0.00000       2.55263    
  0.275420E-03   54.9563       4.73422       6.70599       4.70683       6.69548      0.273844E-01  0.105088E-01   11.4023       2.60234       2.60052       2.46653       2.10449       1.62863       0.00000       2.46634    
  0.301992E-03   52.7787       4.57247       6.47263       4.54345       6.46145      0.290137E-01  0.111775E-01   11.0049       2.51658       2.51463       2.38236       2.02687       1.56466       0.00000       2.38216    
  0.331127E-03   50.6904       4.41675       6.24786       4.38598       6.23595      0.307716E-01  0.119058E-01   10.6219       2.43383       2.43173       2.30115       1.95215       1.50325       0.00000       2.30096    
  0.363073E-03   48.6445       4.26392       6.02719       4.23133       6.01452      0.325953E-01  0.126648E-01   10.2458       2.35251       2.35027       2.22137       1.87882       1.44307       0.00000       2.22119    
  0.398101E-03   46.6782       4.11651       5.81422       4.08196       5.80073      0.345488E-01  0.134849E-01   9.88269       2.27388       2.27148       2.14426       1.80808       1.38517       0.00000       2.14408    
  0.436509E-03   44.7754       3.97347       5.60742       3.93685       5.59306      0.366194E-01  0.143610E-01   9.52991       2.19741       2.19485       2.06929       1.73944       1.32909       0.00000       2.06912    
  0.478622E-03   42.9127       3.83318       5.40453       3.79442       5.38926      0.387648E-01  0.152729E-01   9.18368       2.12231       2.11957       1.99568       1.67210       1.27418       0.00000       1.99551    
  0.524798E-03   41.1424       3.69930       5.21068       3.65819       5.19440      0.411030E-01  0.162786E-01   8.85259       2.05037       2.04744       1.92520       1.60782       1.22192       0.00000       1.92504    
  0.575429E-03   39.4130       3.56827       5.02084       3.52473       5.00350      0.435375E-01  0.173320E-01   8.52824       1.97984       1.97671       1.85610       1.54489       1.17084       0.00000       1.85595    
  0.630945E-03   37.7351       3.44085       4.83606       3.39475       4.81762      0.460938E-01  0.184456E-01   8.21237       1.91108       1.90774       1.78877       1.48367       1.12125       0.00000       1.78863    
  0.691816E-03   36.1324       3.31872       4.65871       3.26987       4.63905      0.488501E-01  0.196599E-01   7.90892       1.84492       1.84135       1.72401       1.42495       1.07383       0.00000       1.72388    
  0.758561E-03   34.5647       3.19907       4.48482       3.14737       4.46390      0.517068E-01  0.209254E-01   7.61126       1.77997       1.77616       1.66045       1.36740       1.02741       0.00000       1.66032    
  0.831745E-03   33.0611       3.08399       4.31730       3.02924       4.29501      0.547568E-01  0.222900E-01   7.32425       1.71725       1.71318       1.59909       1.31199      0.982851       0.00000       1.59898    
  0.911989E-03   31.6109       2.97274       4.15511       2.91476       4.13136      0.579879E-01  0.237493E-01   7.04611       1.65639       1.65205       1.53957       1.25837      0.939834       0.00000       1.53947    
  0.999975E-03   30.1935       2.86386       3.99619       2.80252       3.97092      0.613324E-01  0.252680E-01   6.77344       1.59667       1.59205       1.48119       1.20585      0.897765       0.00000       1.48110    
  0.109645E-02   28.8504       2.76036       3.84473       2.69540       3.81779      0.649616E-01  0.269382E-01   6.51319       1.53956       1.53463       1.42539       1.15584      0.857848       0.00000       1.42531    
