   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.208923E-02   4.83926      0.596338      0.829594      0.546786      0.813697      0.495529E-01  0.158978E-01   1.36048      0.465952      0.462094      0.351639      0.808336E-01   0.00000       0.00000      0.351602    
  0.229079E-02   4.79131      0.590504      0.815571      0.537433      0.798292      0.530707E-01  0.172782E-01   1.33573      0.457758      0.453595      0.344727      0.796757E-01   0.00000       0.00000      0.344697    
  0.251180E-02   4.74170      0.584891      0.801689      0.528117      0.782937      0.567736E-01  0.187517E-01   1.31105      0.449604      0.445120      0.337840      0.785138E-01   0.00000       0.00000      0.337817    
  0.275413E-02   4.69024      0.579525      0.787965      0.518842      0.767636      0.606830E-01  0.203289E-01   1.28648      0.441494      0.436669      0.330982      0.773477E-01   0.00000       0.00000      0.330966    
  0.301984E-02   4.63596      0.574596      0.774512      0.509625      0.752409      0.649709E-01  0.221025E-01   1.26203      0.433453      0.428252      0.324165      0.761720E-01   0.00000       0.00000      0.324157    
  0.331118E-02   4.58044      0.569878      0.761187      0.500433      0.737212      0.694452E-01  0.239751E-01   1.23764      0.425442      0.419847      0.317365      0.749910E-01   0.00000       0.00000      0.317365    
  0.363064E-02   4.52278      0.565543      0.748094      0.491280      0.722062      0.742627E-01  0.260318E-01   1.21334      0.417480      0.411461      0.310593      0.738000E-01   0.00000       0.00000      0.310601    
  0.398091E-02   4.46324      0.561595      0.735228      0.482158      0.706942      0.794369E-01  0.282861E-01   1.18910      0.409561      0.403083      0.303842      0.725972E-01   0.00000       0.00000      0.303859    
  0.436498E-02   4.40261      0.557878      0.722497      0.473052      0.691837      0.848263E-01  0.306607E-01   1.16489      0.401665      0.394709      0.297103      0.713871E-01   0.00000       0.00000      0.297128    
  0.478610E-02   4.33963      0.554713      0.710085      0.463973      0.676749      0.907402E-01  0.333361E-01   1.14072      0.393815      0.386332      0.290382      0.701576E-01   0.00000       0.00000      0.290417    
  0.524785E-02   4.27548      0.551860      0.697850      0.454900      0.661657      0.969602E-01  0.361932E-01   1.11656      0.385985      0.377946      0.283667      0.689158E-01   0.00000       0.00000      0.283710    
  0.575415E-02   4.21011      0.549336      0.685801      0.445835      0.646560      0.103501      0.392407E-01   1.09239      0.378174      0.369551      0.276956      0.676611E-01   0.00000       0.00000      0.277009    
  0.630929E-02   4.14271      0.547416      0.674092      0.436766      0.631430      0.110650      0.426625E-01   1.06820      0.370386      0.361123      0.270244      0.663802E-01   0.00000       0.00000      0.270306    
  0.691799E-02   4.07443      0.545782      0.662544      0.427691      0.616275      0.118091      0.462691E-01   1.04397      0.362605      0.352676      0.263528      0.650862E-01   0.00000       0.00000      0.263599    
  0.758542E-02   4.00463      0.544656      0.651280      0.418600      0.601071      0.126055      0.502091E-01   1.01967      0.354832      0.344189      0.256801      0.637684E-01   0.00000       0.00000      0.256882    
  0.831724E-02   3.93336      0.544058      0.640315      0.409481      0.585796      0.134577      0.545185E-01  0.995277      0.347056      0.335651      0.250056      0.624241E-01   0.00000       0.00000      0.250146    
  0.911966E-02   3.86124      0.543765      0.629521      0.400341      0.570476      0.143424      0.590449E-01  0.970817      0.339277      0.327080      0.243297      0.610641E-01   0.00000       0.00000      0.243396    
  0.999950E-02   3.78725      0.544150      0.619101      0.391139      0.555022      0.153011      0.640790E-01  0.946162      0.331473      0.318419      0.236495      0.596660E-01   0.00000       0.00000      0.236603    
  0.109642E-01   3.71248      0.544870      0.608883      0.381911      0.539513      0.162959      0.693693E-01  0.921425      0.323660      0.309719      0.229678      0.582510E-01   0.00000       0.00000      0.229794    
  0.120220E-01   3.63620      0.546218      0.599039      0.372624      0.523884      0.173594      0.751554E-01  0.896508      0.315821      0.300936      0.222823      0.568025E-01   0.00000       0.00000      0.222947    
  0.131819E-01   3.55853      0.548131      0.589535      0.363268      0.508122      0.184863      0.814126E-01  0.871391      0.307946      0.292066      0.215924      0.553218E-01   0.00000       0.00000      0.216057    
  0.144536E-01   3.47945      0.550615      0.580382      0.353836      0.492217      0.196779      0.881647E-01  0.846053      0.300028      0.283100      0.208977      0.538080E-01   0.00000       0.00000      0.209117    
  0.158481E-01   3.39902      0.553637      0.571569      0.344323      0.476167      0.209313      0.954019E-01  0.820490      0.292061      0.274040      0.201980      0.522625E-01   0.00000       0.00000      0.202127    
  0.173770E-01   3.31721      0.557202      0.563110      0.334724      0.459962      0.222479      0.103148      0.794686      0.284039      0.264879      0.194929      0.506848E-01   0.00000       0.00000      0.195083    
  0.190535E-01   3.23382      0.561368      0.555057      0.325019      0.443578      0.236349      0.111478      0.768598      0.275948      0.255602      0.187817      0.490712E-01   0.00000       0.00000      0.187976    
  0.208917E-01   3.14881      0.566121      0.547416      0.315204      0.427011      0.250917      0.120405      0.742215      0.267782      0.246206      0.180640      0.474224E-01   0.00000       0.00000      0.180805    
  0.229073E-01   3.06224      0.571419      0.540176      0.305279      0.410267      0.266140      0.129909      0.715546      0.259538      0.236696      0.173402      0.457409E-01   0.00000       0.00000      0.173571    
  0.251174E-01   2.97403      0.577254      0.533350      0.295237      0.393345      0.282017      0.140005      0.688582      0.251210      0.227070      0.166101      0.440272E-01   0.00000       0.00000      0.166274    
  0.275406E-01   2.88393      0.583667      0.526993      0.285061      0.376225      0.298606      0.150767      0.661286      0.242782      0.217317      0.158733      0.422792E-01   0.00000       0.00000      0.158908    
  0.301976E-01   2.79194      0.590618      0.521100      0.274750      0.358921      0.315868      0.162179      0.633671      0.234250      0.207443      0.151301      0.404997E-01   0.00000       0.00000      0.151478    
  0.331110E-01   2.69810      0.598049      0.515651      0.264308      0.341452      0.333740      0.174199      0.605760      0.225616      0.197461      0.143813      0.386924E-01   0.00000       0.00000      0.143991    
  0.363055E-01   2.60236      0.605929      0.510647      0.253735      0.323829      0.352194      0.186818      0.577564      0.216876      0.187377      0.136275      0.368598E-01   0.00000       0.00000      0.136452    
