   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   75.0534       5.81588       8.27682       5.65377       8.11471      0.162112      0.162112       13.7685       2.96800       2.96800       2.96894       2.68576       2.17776       0.00000    
  0.109648E-03   72.6720       5.70023       8.07852       5.49461       7.87290      0.205613      0.205613       13.3675       2.88140       2.88140       2.88234       2.61321       2.10916       0.00000    
  0.120226E-03   70.3328       5.58243       7.88016       5.33734       7.63507      0.245086      0.245086       12.9724       2.79623       2.79623       2.79716       2.54111       2.04168       0.00000    
  0.131825E-03   68.0373       5.46320       7.68241       5.18215       7.40135      0.281057      0.281057       12.5835       2.71252       2.71252       2.71345       2.46963       1.97538       0.00000    
  0.144543E-03   65.7874       5.34337       7.48601       5.02927       7.17190      0.314103      0.314103       12.2012       2.63032       2.63032       2.63125       2.39895       1.91034       0.00000    
  0.158489E-03   63.5839       5.22325       7.29125       4.87880       6.94681      0.344442      0.344442       11.8256       2.54966       2.54966       2.55057       2.32915       1.84658       0.00000    
  0.173779E-03   61.4255       5.10213       7.09750       4.73056       6.72593      0.371577      0.371577       11.4565       2.47048       2.47048       2.47140       2.26007       1.78405       0.00000    
  0.190545E-03   59.3128       4.98061       6.90528       4.58467       6.50935      0.395931      0.395931       11.0940       2.39283       2.39283       2.39374       2.19184       1.72278       0.00000    
  0.208928E-03   57.2466       4.85931       6.71515       4.44133       6.29717      0.417988      0.417988       10.7385       2.31672       2.31672       2.31762       2.12460       1.66282       0.00000    
  0.229085E-03   55.2275       4.73856       6.52739       4.30059       6.08943      0.437961      0.437961       10.3900       2.24218       2.24218       2.24307       2.05842       1.60418       0.00000    
  0.251186E-03   53.2550       4.61776       6.34150       4.16234       5.88608      0.455422      0.455422       10.0484       2.16917       2.16917       2.17006       1.99316       1.54684       0.00000    
  0.275420E-03   51.3290       4.49736       6.15783       4.02665       5.68713      0.470708      0.470708       9.71378       2.09772       2.09772       2.09860       1.92893       1.49081       0.00000    
  0.301992E-03   49.4494       4.37786       5.97684       3.89364       5.49262      0.484221      0.484221       9.38626       2.02782       2.02782       2.02869       1.86582       1.43610       0.00000    
  0.331127E-03   47.6163       4.25955       5.79875       3.76338       5.30258      0.496168      0.496168       9.06596       1.95950       1.95950       1.96036       1.80388       1.38272       0.00000    
  0.363073E-03   45.8301       4.14196       5.62318       3.63578       5.11700      0.506180      0.506180       8.75277       1.89274       1.89274       1.89360       1.74304       1.33066       0.00000    
  0.398101E-03   44.0902       4.02539       5.45037       3.51087       4.93585      0.514524      0.514524       8.44672       1.82754       1.82754       1.82839       1.68333       1.27992       0.00000    
  0.436509E-03   42.3958       3.91026       5.28066       3.38873       4.75912      0.521536      0.521536       8.14785       1.76389       1.76389       1.76474       1.62483       1.23049       0.00000    
  0.478622E-03   40.7466       3.79680       5.11421       3.26939       4.58681      0.527409      0.527409       7.85620       1.70181       1.70181       1.70264       1.56758       1.18236       0.00000    
  0.524798E-03   39.1435       3.68464       4.95078       3.15282       4.41895      0.531829      0.531829       7.57177       1.64128       1.64128       1.64211       1.51153       1.13555       0.00000    
  0.575429E-03   37.5856       3.57402       4.79050       3.03901       4.25549      0.535008      0.535008       7.29450       1.58231       1.58231       1.58313       1.45670       1.09005       0.00000    
