   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   77.1367      0.873290       5.82822       8.28063       13.2356      -7.40734      -7.40734       21.5162       5.49754       5.49754       5.49821       2.78308       2.23981       0.00000    
  0.109648E-03   74.6373       1.43090       5.96267       7.77359       12.3054      -6.34270      -6.34270       20.0790       5.06852       5.06852       5.06920       2.70507       2.16764       0.00000    
  0.120226E-03   72.1861       1.89249       6.05049       7.31606       11.4741      -5.42357      -5.42357       18.7901       4.68829       4.68829       4.68898       2.62777       2.09678       0.00000    
  0.131825E-03   69.7841       2.27816       6.10199       6.89852       10.7224      -4.62036      -4.62036       17.6209       4.34719       4.34719       4.34789       2.55133       2.02728       0.00000    
  0.144543E-03   67.4328       2.61030       6.12869       6.51038       10.0288      -3.90007      -3.90007       16.5391       4.03444       4.03444       4.03514       2.47594       1.95919       0.00000    
  0.158489E-03   65.1328       2.89822       6.13537       6.14722       9.38437      -3.24900      -3.24900       15.5316       3.74556       3.74556       3.74627       2.40166       1.89253       0.00000    
  0.173779E-03   62.8833       3.12376       6.11269       5.81763       8.80656      -2.69387      -2.69387       14.6242       3.48929       3.48929       3.48999       2.32835       1.82728       0.00000    
  0.190545E-03   60.6845       3.30010       6.06744       5.51541       8.28275      -2.21531      -2.21531       13.7982       3.25930       3.25930       3.26000       2.25611       1.76345       0.00000    
  0.208928E-03   58.5366       3.44253       6.00748       5.23332       7.79826      -1.79079      -1.79079       13.0316       3.04825       3.04825       3.04896       2.18507       1.70105       0.00000    
  0.229085E-03   56.4399       3.55848       5.93661       4.96788       7.34602      -1.40940      -1.40940       12.3139       2.85261       2.85261       2.85331       2.11528       1.64010       0.00000    
  0.251186E-03   54.3946       3.63519       5.84830       4.72510       6.93822      -1.08991      -1.08991       11.6633       2.67846       2.67846       2.67916       2.04665       1.58060       0.00000    
  0.275420E-03   52.3999       3.68111       5.74688       4.50100       6.56677      -.819895      -.819895       11.0678       2.52177       2.52177       2.52247       1.97923       1.52254       0.00000    
  0.301992E-03   50.4555       3.70656       5.63764       4.29072       6.22180      -.584162      -.584162       10.5125       2.37760       2.37760       2.37830       1.91312       1.46590       0.00000    
  0.331127E-03   48.5611       3.71719       5.52349       4.09159       5.89790      -.374403      -.374403       9.98949       2.24325       2.24325       2.24394       1.84834       1.41070       0.00000    
  0.363073E-03   46.7175       3.70428       5.39997       3.90773       5.60343      -.203456      -.203456       9.51116       2.12290       2.12290       2.12359       1.78484       1.35694       0.00000    
  0.398101E-03   44.9237       3.67310       5.26975       3.73666       5.33332      -.635611E-01  -.635611E-01   9.06997       2.01401       2.01401       2.01470       1.72265       1.30461       0.00000    
  0.436509E-03   43.1785       3.63049       5.13635       3.57511       5.08097      0.553768E-01  0.553768E-01   8.65608       1.91331       1.91331       1.91399       1.66180       1.25367       0.00000    
  0.478622E-03   41.4813       3.58062       5.00188       3.42114       4.84239      0.159485      0.159485       8.26353       1.81880       1.81880       1.81948       1.60234       1.20411       0.00000    
  0.524798E-03   39.8335       3.51770       4.86339       3.27750       4.62320      0.240199      0.240199       7.90069       1.73327       1.73327       1.73395       1.54422       1.15597       0.00000    
  0.575429E-03   38.2338       3.44487       4.72249       3.14266       4.42028      0.302208      0.302208       7.56294       1.65520       1.65520       1.65587       1.48746       1.10921       0.00000    
  0.630945E-03   36.6804       3.36657       4.58140       3.01449       4.22932      0.352085      0.352085       7.24381       1.58242       1.58242       1.58310       1.43206       1.06379       0.00000    
  0.691816E-03   35.1723       3.28576       4.44162       2.89158       4.04744      0.394186      0.394186       6.93901       1.51354       1.51354       1.51421       1.37804       1.01968       0.00000    
  0.758561E-03   33.7116       3.19871       4.30129       2.77574       3.87832      0.422974      0.422974       6.65406       1.45035       1.45035       1.45103       1.32539      0.976940       0.00000    
  0.831745E-03   32.2965       3.10723       4.16129       2.66606       3.72012      0.441169      0.441169       6.38618       1.39196       1.39196       1.39264       1.27410      0.935517       0.00000    
  0.911989E-03   30.9250       3.01411       4.02297       2.56115       3.57002      0.452954      0.452954       6.13117       1.33700       1.33700       1.33767       1.22416      0.895356       0.00000    
  0.999975E-03   29.5957       2.92133       3.88734       2.46002       3.42602      0.461318      0.461318       5.88604       1.28447       1.28447       1.28514       1.17555      0.856422       0.00000    
  0.109645E-02   28.3111       2.82664       3.75330       2.36383       3.29049      0.462811      0.462811       5.65432       1.23552       1.23552       1.23619       1.12831      0.818779       0.00000    
  0.120223E-02   27.0693       2.73098       3.62127       2.27206       3.16235      0.458920      0.458920       5.43441       1.18965       1.18965       1.19032       1.08240      0.782379       0.00000    
  0.131822E-02   25.8681       2.63601       3.49203       2.18379       3.03981      0.452213      0.452213       5.22361       1.14600       1.14600       1.14666       1.03780      0.747156       0.00000    
  0.144540E-02   24.7058       2.54300       3.36615       2.09835       2.92151      0.444649      0.444649       5.01986       1.10389       1.10389       1.10455      0.994462      0.713063       0.00000    
  0.158485E-02   23.5849       2.45068       3.24310       2.01649       2.80891      0.434187      0.434187       4.82540       1.06404       1.06404       1.06470      0.952449      0.680172       0.00000    
  0.173775E-02   22.5038       2.35946       3.12301       1.93789       2.70144      0.421570      0.421570       4.63933       1.02617       1.02617       1.02683      0.911720      0.648436       0.00000    
  0.190540E-02   21.4600       2.27027       3.00623       1.86197       2.59794      0.408300      0.408300       4.45991      0.989752      0.989752      0.990401      0.872220      0.617783       0.00000    
  0.208923E-02   20.4517       2.18384       2.89308       1.78825       2.49749      0.395588      0.395588       4.28575      0.954346      0.954346      0.954990      0.833908      0.588155       0.00000    
  0.229079E-02   19.4813       2.09954       2.78334       1.71723       2.40102      0.382318      0.382318       4.11825      0.920378      0.920378      0.921015      0.796848      0.559631       0.00000    
  0.251180E-02   18.5474       2.01750       2.67701       1.64871       2.30821      0.368800      0.368800       3.95691      0.887707      0.887707      0.888337      0.760998      0.532165       0.00000    
  0.275413E-02   17.6475       1.93814       2.57416       1.58230       2.21832      0.355838      0.355838       3.80062      0.856009      0.856009      0.856630      0.726288      0.505682       0.00000    
  0.301984E-02   16.7793       1.86179       2.47487       1.51767       2.13075      0.344119      0.344119       3.64842      0.825009      0.825009      0.825622      0.692664      0.480119       0.00000    
  0.331118E-02   15.9456       1.78826       2.37917       1.45515       2.04606      0.333108      0.333108       3.50122      0.794954      0.794954      0.795556      0.660200      0.455552       0.00000    
  0.363064E-02   15.1450       1.71751       2.28697       1.39463       1.96409      0.322884      0.322884       3.35872      0.765775      0.765775      0.766366      0.628855      0.431944       0.00000    
  0.398091E-02   14.3748       1.64963       2.19816       1.33583       1.88435      0.313807      0.313807       3.22018      0.737279      0.737279      0.737858      0.598548      0.409216       0.00000    
  0.436498E-02   13.6329       1.58471       2.11266       1.27851       1.80646      0.306200      0.306200       3.08497      0.709294      0.709294      0.709860      0.569214      0.387303       0.00000    
  0.478610E-02   12.9217       1.52278       2.03064       1.22289       1.73075      0.299887      0.299887       2.95364      0.681960      0.681960      0.682512      0.540931      0.366278       0.00000    
  0.524785E-02   12.2401       1.46374       1.95197       1.16891       1.65714      0.294833      0.294833       2.82605      0.655248      0.655248      0.655785      0.513663      0.346109       0.00000    
  0.575415E-02   11.5855       1.40748       1.87644       1.11637       1.58533      0.291115      0.291115       2.70170      0.629044      0.629044      0.629564      0.487325      0.326722       0.00000    
  0.630929E-02   10.9557       1.35390       1.80385       1.06509       1.51504      0.288811      0.288811       2.58013      0.603245      0.603245      0.603749      0.461843      0.308049       0.00000    
  0.691799E-02   10.3528       1.30318       1.73445       1.01522       1.44649      0.287960      0.287960       2.46171      0.577924      0.577924      0.578410      0.437293      0.290156       0.00000    
  0.758542E-02   9.77618       1.25520       1.66811      0.966720       1.37963      0.288476      0.288476       2.34636      0.553073      0.553073      0.553540      0.413648      0.273022       0.00000    
  0.831724E-02   9.22315       1.20972       1.60455      0.919458       1.31429      0.290259      0.290259       2.23375      0.528634      0.528634      0.529082      0.390825      0.256575       0.00000    
  0.911966E-02   8.69140       1.16652       1.54351      0.873300       1.25028      0.293224      0.293224       2.12358      0.504550      0.504550      0.504979      0.368750      0.240754       0.00000    
  0.999950E-02   8.18306       1.12586       1.48524      0.828333       1.18771      0.297530      0.297530       2.01605      0.480846      0.480846      0.481255      0.347487      0.225611       0.00000    
  0.109642E-01   7.69753       1.08763       1.42967      0.784552       1.12659      0.303082      0.303082       1.91114      0.457532      0.457532      0.457919      0.327020      0.211135       0.00000    
  0.120220E-01   7.23242       1.05153       1.37648      0.741874       1.06682      0.309659      0.309659       1.80869      0.434594      0.434594      0.434960      0.307281      0.197266       0.00000    
  0.131819E-01   6.78546       1.01728       1.32538      0.700219       1.00832      0.317056      0.317056       1.70854      0.412016      0.412016      0.412361      0.288203      0.183948       0.00000    
  0.144536E-01   6.35843      0.985122       1.27662      0.659611      0.951108      0.325511      0.325511       1.61072      0.389782      0.389782      0.390105      0.269829      0.171220       0.00000    
  0.158481E-01   5.95103      0.955006       1.23014      0.620072      0.895208      0.334934      0.334934       1.51528      0.367913      0.367913      0.368215      0.252159      0.159080       0.00000    
  0.173770E-01   5.56118      0.926599       1.18566      0.581588      0.840650      0.345011      0.345011       1.42224      0.346444      0.346444      0.346725      0.235144      0.147482       0.00000    
  0.190535E-01   5.18687      0.899589       1.14290      0.544147      0.787455      0.355442      0.355442       1.33160      0.325407      0.325407      0.325667      0.218741      0.136382       0.00000    
  0.208917E-01   4.82935      0.874221       1.10204      0.507707      0.735529      0.366514      0.366514       1.24324      0.304743      0.304743      0.304982      0.202964      0.125804       0.00000    
  0.229073E-01   4.48865      0.850463       1.06309      0.472305      0.684932      0.378158      0.378158       1.15724      0.284481      0.284481      0.284700      0.187824      0.115752       0.00000    
  0.251174E-01   4.16318      0.827985       1.02578      0.438014      0.635813      0.389971      0.389971       1.07383      0.264709      0.264709      0.264908      0.173305      0.106196       0.00000    
  0.275406E-01   3.85141      0.806466      0.989877      0.404904      0.588316      0.401562      0.401562      0.993220      0.245514      0.245514      0.245695      0.159390      0.971067E-01   0.00000    
  0.301976E-01   3.55397      0.786141      0.955535      0.372882      0.542277      0.413258      0.413258      0.915160      0.226808      0.226808      0.226971      0.146074      0.884976E-01   0.00000    
  0.331110E-01   3.27115      0.766998      0.922760      0.341978      0.497740      0.425020      0.425020      0.839719      0.208611      0.208611      0.208756      0.133367      0.803729E-01   0.00000    
  0.363055E-01   3.00204      0.748689      0.891308      0.312342      0.454961      0.436347      0.436347      0.767302      0.191059      0.191059      0.191187      0.121283      0.727146E-01   0.00000    
  0.398081E-01   2.74575      0.730868      0.860939      0.284119      0.414190      0.446749      0.446749      0.698308      0.174286      0.174286      0.174399      0.109833      0.655048E-01   0.00000    
  0.436487E-01   2.50253      0.713778      0.831838      0.257229      0.375289      0.456549      0.456549      0.632518      0.158217      0.158217      0.158317      0.990116E-01  0.587542E-01   0.00000    
  0.478598E-01   2.27264      0.697431      0.804003      0.231655      0.338228      0.465776      0.465776      0.569883      0.142838      0.142838      0.142925      0.888167E-01  0.524645E-01   0.00000    
  0.524772E-01   2.05564      0.681410      0.777118      0.207534      0.303242      0.473876      0.473876      0.510776      0.128275      0.128275      0.128350      0.792582E-01  0.466174E-01   0.00000    
